ACCT - Accounting;;;;;;;;;;;;;;;
CRN;Subj;Crse;Sec;Cmp;Cred;Title;Days;Time;Cap;Act;Rem;Instructor;Date (MM/DD);Location;Attribute
;;;;;;;;;;;;Click name to see CV;;;
10022;ACCT;405;502;CS;3;INCOME TAX (Syllabus);TR;11:10 am-12:25 pm;28;36;-8;Sean T. McGuire (P);01/17-05/08;WCBA 462;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Sean T. McGuire (P);03/06-03/06;TBA;
25065;ACCT;405;503;CS;3;INCOME TAX (Syllabus);TR;12:45 pm-02:00 pm;28;35;-7;Sean T. McGuire (P);01/17-05/08;WCBA 462;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Sean T. McGuire (P);03/06-03/06;TBA;
10023;ACCT;405;504;CS;3;INCOME TAX (Syllabus);MW;08:00 am-09:15 am;28;29;-1;Morgan E. Clarke (P);01/17-05/08;WCBA 105;
;;;;;;(Restrictions/Details);;;;;;;;;
10024;ACCT;405;505;CS;3;INCOME TAX (Syllabus);MW;09:35 am-10:50 am;28;32;-4;Morgan E. Clarke (P);01/17-05/08;WCBA 105;
;;;;;;(Restrictions/Details);;;;;;;;;
10025;ACCT;405;506;CS;3;INCOME TAX (Syllabus);MW;11:10 am-12:25 pm;28;36;-8;Morgan E. Clarke (P);01/17-05/08;WCBA 105;
;;;;;;(Restrictions/Details);;;;;;;;;
10026;ACCT;405;507;CS;3;INCOME TAX (Syllabus);TR;12:45 pm-02:00 pm;28;33;-5;Kevin Roach (P);01/17-05/08;WCBA 104;
;;;;;;(Restrictions/Details);;;;;;;;;
12542;ACCT;407;901;CS;3;AUDITING (Syllabus);TR;09:35 am-10:50 am;30;27;3;Michelle C. Diaz (P);01/17-05/08;WCBA 106;Univ Req-Writing Intensive
;;;;;;(Restrictions/Details);;;;;;;;;
12543;ACCT;407;902;CS;3;AUDITING (Syllabus);TR;02:20 pm-03:35 pm;30;17;13;James C. Flagg (P);01/17-05/08;WCBA 111;Univ Req-Writing Intensive
;;;;;;(Restrictions/Details);;;;;;;;;
10028;ACCT;410;500;CS;3;FRAUD EXAMINATION (Syllabus);TR;03:55 pm-05:10 pm;40;32;8;Tim D. Torno (P);01/17-05/08;WCBA 105;
;;;;;;(Restrictions/Details);;;;;;;;;
18604;ACCT;421;931;CS;2;CRITICAL COMM ACCT (Syllabus);TR;12:45 pm-02:00 pm;40;50;-10;Courtney E. Foster (P), Mary K. Stasny;01/17-05/08;WCBA 155;NonTraditional Format Approved and Univ Req-Oral Communication
;;;;;;(Restrictions/Details);;;;;;;;;
18605;ACCT;421;932;CS;2;CRITICAL COMM ACCT (Syllabus);TR;02:20 pm-03:35 pm;40;54;-14;Courtney E. Foster (P), Mary K. Stasny;01/17-05/08;WCBA 155;NonTraditional Format Approved and Univ Req-Oral Communication
;;;;;;(Restrictions/Details);;;;;;;;;
27391;ACCT;421;933;CS;2;CRITICAL COMM ACCT (Syllabus);TR;03:55 pm-05:10 pm;40;54;-14;Courtney E. Foster (P), Mary K. Stasny;01/17-05/08;WCBA 155;NonTraditional Format Approved and Univ Req-Oral Communication
;;;;;;(Restrictions/Details);;;;;;;;;
10029;ACCT;427;501;CS;3;ACCT & FIN INFO SYSTEMS (Syllabus);MWF;08:00 am-08:50 am;45;50;-5;Tara N. Blasor (P);01/17-05/08;WCBA 155;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;07:15 pm-09:15 pm;;;;Tara N. Blasor (P);03/08-03/08;TBA;
10030;ACCT;427;502;CS;3;ACCT & FIN INFO SYSTEMS (Syllabus);MWF;09:10 am-10:00 am;45;47;-2;Tara N. Blasor (P);01/17-05/08;WCBA 155;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;07:15 pm-09:15 pm;;;;Tara N. Blasor (P);03/08-03/08;TBA;
10031;ACCT;427;503;CS;3;ACCT & FIN INFO SYSTEMS (Syllabus);MWF;10:20 am-11:10 am;45;51;-6;Tara N. Blasor (P);01/17-05/08;WCBA 155;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;07:15 pm-09:15 pm;;;;Tara N. Blasor (P);03/08-03/08;TBA;
23832;ACCT;427;504;CS;3;ACCT & FIN INFO SYSTEMS (Syllabus);TR;12:45 pm-02:00 pm;45;45;0;Michelle C. Diaz (P);01/17-05/08;WCBA 442;
;;;;;;(Restrictions/Details);;;;;;;;;
21516;ACCT;427;505;CS;3;ACCT & FIN INFO SYSTEMS (Syllabus);TR;11:10 am-12:25 pm;45;50;-5;Michelle C. Diaz (P);01/17-05/08;WCBA 442;
;;;;;;(Restrictions/Details);;;;;;;;;
31659;ACCT;430;500;CS;3;GLOBAL IMMERSION IN ACCOUNTING (Syllabus);;TBA;9;9;0;Joan E. Sanders (P);01/17-05/08;TBA;Univ Req-Int'l&Cult Div (UICD)
;;;;;;(Restrictions/Details);;;;;;;;;
10033;ACCT;445;501;CS;3;INTERNATIONAL ACCT (Syllabus);R;12:45 pm-02:00 pm;70;67;3;Karen C. Farmer (P);01/01-02/09;WCBA 114;BA Int'l Elective group 1 and BA Int'l Elective group 3 and Huma & ICD for COSC group 2 and NonTraditional Format Approved and Univ Req-Int'l&Cult Div (UICD)
;;;;;;(Restrictions/Details);;;;;;;;;
10034;ACCT;445;502;CS;3;INTERNATIONAL ACCT;R;12:45 pm-02:00 pm;60;68;-8;Karen C. Farmer (P);03/26-05/04;WCBA 114;BA Int'l Elective group 1 and BA Int'l Elective group 3 and Huma & ICD for COSC group 2 and NonTraditional Format Approved and Univ Req-Int'l&Cult Div (UICD)
;;;;;;(Restrictions/Details);;;;;;;;;
10035;ACCT;447;501;CS;3;FINANCIAL STMNT ANALYSIS (Syllabus);MW;09:35 am-10:50 am;16;16;0;Karen Redman (P);01/17-05/08;WCBA 462;
;;;;;;(Restrictions/Details);;;;;;;;;
10036;ACCT;447;502;CS;3;FINANCIAL STMNT ANALYSIS (Syllabus);MW;11:10 am-12:25 pm;16;15;1;Karen Redman (P);01/17-05/08;WCBA 462;
;;;;;;(Restrictions/Details);;;;;;;;;
10037;ACCT;450;501;CS;3;ACCOUNTING ETHICS (Syllabus);MW;03:00 pm-04:55 pm;15;9;6;Michael Shaub (P);03/26-05/04;WCBA 114;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;09:35 am-10:50 am;;;;Michael Shaub (P);03/26-05/04;WCBA 114;
27390;ACCT;450;502;CS;3;ACCOUNTING ETHICS (Syllabus);MW;08:00 am-09:55 am;3;4;-1;Michael J. Head (P);03/26-05/04;WCBA 161;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;09:35 am-10:50 am;;;;Michael J. Head (P);03/26-05/04;WCBA 111;
13511;ACCT;484;500;CS;3;ACCOUNTING INTERNSHIP;;TBA;130;44;86;Michael Shaub (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion
;;;;;;(Restrictions/Details);;;;;;;;;
15771;ACCT;607;600;CS;3;SEMINAR IN AUDITING (Syllabus);TR;03:55 pm-05:10 pm;40;27;13;James C. Flagg (P);01/17-05/08;WCBA 111;
;;;;;;(Restrictions/Details);;;;;;;;;
31501;ACCT;610;600;CS;3;FINANCIAL ACCOUNTING (Syllabus);MW;12:45 pm-02:00 pm;0;43;-43;Karen Redman (P);01/17-05/08;WCBA 182;3peat Exclusion
;;;;;;(Restrictions/Details);;;;;;;;;
15249;ACCT;615;600;CS;3;CONTEMPORARY TAX TOPICS (Syllabus);TR;03:55 pm-05:10 pm;46;45;1;Kevin Roach (P);01/17-05/08;WCBA 104;
;;;;;;(Restrictions/Details);;;;;;;;;
10039;ACCT;620;601;CS;3;MGMT ACCT & CONTROL;MW;08:30 am-10:30 am;35;27;8;Korok Ray (P);02/19-05/04;WCBA 186;NonTraditional Format Approved and 3peat Exclusion
;;;;;;(Restrictions/Details);;;;;;;;;
10040;ACCT;620;602;CS;3;MGMT ACCT & CONTROL;MW;10:45 am-12:45 pm;35;28;7;Korok Ray (P);02/19-05/04;WCBA 186;NonTraditional Format Approved and 3peat Exclusion
;;;;;;(Restrictions/Details);;;;;;;;;
33494;ACCT;640;600;CS;3;ACCT CON & PROCEDURE I;;TBA;0;1;-1;TBA;01/17-05/08;TBA;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
32038;ACCT;640;699;CS;3;ACCT CON & PROCEDURE I (Syllabus);WEB;WEB;200;94;106;Courtney E. Foster (P);01/17-05/08;WEB;Distance Education and NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:15 pm;;;;Courtney E. Foster (P);02/27-02/27;WEB;
;;;;;;;F;05:30 pm-07:30 pm;;;;Courtney E. Foster (P);04/27-04/27;WEB;
10042;ACCT;644;601;CS;3;CONTROL AUDIT INFO SYSTM (Syllabus);MW;09:35 am-10:50 am;45;55;-10;Joan E. Sanders (P);01/17-05/08;WCBA 442;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;F;10:20 am-01:20 pm;;;;Joan E. Sanders (P);01/17-05/08;WCBA 161;
10043;ACCT;644;602;CS;3;CONTROL AUDIT INFO SYSTM (Syllabus);MW;11:10 am-12:25 pm;45;36;9;Joan E. Sanders (P);01/17-05/08;WCBA 442;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;F;10:20 am-01:20 pm;;;;Joan E. Sanders (P);01/17-05/08;WCBA 161;
12754;ACCT;646;601;CS;3;INTERNATIONAL ACCOUNTING (Syllabus);R;12:45 pm-02:00 pm;100;58;42;Karen C. Farmer (P);01/01-02/09;WCBA 114;BA Int'l Elective group 1 and NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
10044;ACCT;646;602;CS;3;INTERNATIONAL ACCOUNTING;R;12:45 pm-02:00 pm;167;117;50;Karen C. Farmer (P);03/26-05/04;WCBA 114;BA Int'l Elective group 1 and NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
10045;ACCT;647;601;CS;3;FINANCIAL STMNT ANALYSIS (Syllabus);TR;12:45 pm-02:00 pm;32;32;0;Tim D. Torno (P);01/17-05/08;WCBA 105;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
10046;ACCT;647;602;CS;3;FINANCIAL STMNT ANALYSIS (Syllabus);TR;02:20 pm-03:35 pm;32;37;-5;Tim D. Torno (P);01/17-05/08;WCBA 105;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
10047;ACCT;650;601;CS;3;ACCOUNTING ETHICS (Syllabus);MW;03:00 pm-04:55 pm;105;97;8;Michael Shaub (P);03/26-05/04;WCBA 114;NonTraditional Format Approved
